Name,Location,Price
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,90000000
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,80000000
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu",Kathmandu,70000000
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu",Kathmandu,130000000
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu",Kathmandu,100000000
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu",Kathmandu,100000000
"Modern House : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,50000000
"Flat System House : House For Sale In Baluwatar, Kathmandu",Kathmandu,100000000
"Residential House Sale : House For Sale In Sukedhara, Kathmandu",Kathmandu,32500000
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu",Kathmandu,39900000
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,15000000
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,52500000
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,26500000
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu",Kathmandu,25500000
"2.5 Storey : House For Sale In Narephate, Kathmandu",Kathmandu,33000000
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu",Kathmandu,18500000
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu",Kathmandu,62000000
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu",Kathmandu,10500000
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu",Kathmandu,145000000
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,55000000
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu",Kathmandu,24000000
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu",Kathmandu,37000000
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu",Kathmandu,102500000
"House For Sale In Pepsicola, Kathmandu",Kathmandu,58500000
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu",Kathmandu,130000000
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,105000000
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,105000000
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu",Kathmandu,27500000
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu",Kathmandu,40000000
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu",Kathmandu,26500000
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,22500000
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,60000000
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu",Kathmandu,250000000
"Grandy House For Sale : House For Sale In Tokha, Kathmandu",Kathmandu,40000000
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu",Kathmandu,30000000
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu",Kathmandu,65000000
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,33000000
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,30500000
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu",Kathmandu,14000000
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,28000000
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu",Kathmandu,41000000
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,27000000
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu",Kathmandu,22000000
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,37000000
"House For Sale In Baluwatar, Kathmandu",Kathmandu,46000000
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu",Kathmandu,22500000
"House On Sale : House For Sale In Naya Bazar, Kathmandu",Kathmandu,31000000
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu",Kathmandu,42500000
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,37500000
"House For Sale In Tarkeshwor, Kathmandu",Kathmandu,13000000
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,105000000
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu",Kathmandu,80000000
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu",Kathmandu,21000000
"House Sale In Raniban : House For Sale In Raniban, Kathmandu",Kathmandu,120000000
"Residential House : House For Sale In Makalbari, Kathmandu",Kathmandu,20000000
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu",Kathmandu,33500000
"House Sale In Mhepi : House For Sale In Mhepi, Kathmandu",Kathmandu,37000000
"House Sale In Chaysingdol : House For Sale In Pasikot, Kathmandu",Kathmandu,36000000
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu",Kathmandu,40000000
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu",Kathmandu,37000000
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu",Kathmandu,34000000
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu",Kathmandu,26000000
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu",Kathmandu,22000000
"House Sale In Phutung Tushal : House For Sale In Kavresthali, Kathmandu",Kathmandu,23000000
"House Sale In Thulo Bharyang : House For Sale In Thulo Bharyang, Kathmandu",Kathmandu,25000000
"House For Sale In Goldhunga, Kathmandu",Kathmandu,15500000
"House For Sale In Maharajgunj, Kathmandu",Kathmandu,57500000
"House Sale In Baluwatar : House For Sale In Baluwatar, Kathmandu",Kathmandu,90000000
"House For Sale In Kalanki, Kathmandu",Kathmandu,17000000
"House For Sale In Budhanilkantha, Kathmandu",Kathmandu,45000000
"House For Sale In Pasikot, Kathmandu",Kathmandu,32000000
"One And Half Storied : House For Sale In Kadaghari, Kathmandu",Kathmandu,15500000
"Attractive Residential Land On Sale : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3000000
"18 Aana Land For Sale At Shamkhamul : Land For Sale In Sankhamul, Kathmandu",Kathmandu,6500000
"Land On Sale At Beautiful Location : Land For Sale In Thankot, Kathmandu",Kathmandu,2350000
"4 Aana Land For Sale At Golfutar : Land For Sale In Golfutar, Kathmandu",Kathmandu,4100000
"Commercial Estate Land For Business : Land For Lease In Dhapasi, Kathmandu",Kathmandu,200000
"Land For Sale In Gaurighat, Kathmandu",Kathmandu,3500000
"Flat At Rent : Flat For Rent In Budhanilkantha, Kathmandu",Kathmandu,30000
"18 Ana Budhanilkantha Taulung : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,2800000
"Budhanilkantha 18 Ana Taulung : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3500000
"Land Sale At Jhor, Tokha : Land For Sale In Tokha, Kathmandu",Kathmandu,1500000
"Land Sale In Phutung : Land For Sale In Kavresthali, Kathmandu",Kathmandu,1100000
"Land Sale In Chabahil : Land For Sale In Chabahil, Kathmandu",Kathmandu,8500000
"Land Sale In Jarankhu : Land For Sale In Kavresthali, Kathmandu",Kathmandu,2850000
"Land Sale In Dharmasthali : Land For Sale In Dharmasthali, Kathmandu",Kathmandu,1450000
"Budhanilkantha Land : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,2600000
"Deuba Chokma 1 Ropani : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3800000
"Deuba Biwas 10 Ana : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3500000
"Consultancy : Office Space For Sale In Dillibazar, Kathmandu",Kathmandu,1000000
"Budhanilkanthama 8 Ropani 10 Ana : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,3500000
"Bansbarima 8 Ana Jagga : Land For Sale In Golfutar, Kathmandu",Kathmandu,4200000
"Budhanilkanyha 8 Ropani : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,6000000
"Spacious Flat Bear Grande Hospital : Flat For Rent In Tokha, Kathmandu",Kathmandu,20000
"Flat For RENT : Flat For Rent In Maharajgunj, Kathmandu",Kathmandu,32000
"Hattigauda 9 Ana Home On Rent : House For Rent In Hattigauda, Kathmandu",Kathmandu,75000
"Flat On Rent At Lazimpat : Flat For Rent In Lazimpat, Kathmandu",Kathmandu,30000
"Bishalnagar 29 Ana For Sale : Land For Sale In Bishal Nagar, Kathmandu",Kathmandu,8500000
"Land For Sale In Bhangal, Kathmandu",Kathmandu,2450000
"Tallo Baluwatar 1 Ropani : Land For Sale In Baluwatar, Kathmandu",Kathmandu,5700000
"Flat/Godown Space Available For Rent : Flat For Rent In Newroad, Kathmandu",Kathmandu,20000
"Maligaon Commercial 12 Ana : Land For Sale In Maligaon, Kathmandu",Kathmandu,7000000
"Office Space Available For Rent : Office Space For Rent In Newroad, Kathmandu",Kathmandu,65000
"Hattigauda Height 9 Ana Land : Land For Sale In Hattigauda, Kathmandu",Kathmandu,2500000
"Rudreswor 4 Ropani , Budhanilkantha : Land For Sale In Budhanilkantha, Kathmandu",Kathmandu,4000000
