name,address,price
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur",Lalitpur,11000000
"Newly Constructed : House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"House For Sale In Imadol, Lalitpur",Lalitpur,18500000
"Newly Built House : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur",Lalitpur,17500000
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur",Lalitpur,25000000
"One And Half Storied : House For Sale In Imadol, Lalitpur",Lalitpur,12500000
"Modern Designed : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"House For Sale In Imadol, Lalitpur",Lalitpur,22000000
"House For Sale In Imadol, Lalitpur",Lalitpur,21500000
"Newly Built : House For Sale In Imadol, Lalitpur",Lalitpur,19500000
"House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"House For Sale In Imadol, Lalitpur",Lalitpur,18000000
"Somaney : House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"2 And Half Floor House Is On Sale In Imadole : House For Sale In Imadol, Lalitpur",Lalitpur,23500000
"1.5 Storied House : House For Sale In Imadol, Lalitpur",Lalitpur,12500000
"1.5 Storey House : House For Sale In Tikathali, Lalitpur",Lalitpur,12500000
"Residential : House For Sale In Imadol, Lalitpur",Lalitpur,19000000
"Commercial / Residential Land : Land For Sale In Imadol, Lalitpur",Lalitpur,3500000
"Office Space For Rent At Imadol Prime Area : Flat For Rent In Mahalaxmi Nagarpalika, Lalitpur",Lalitpur,35000
"Flat For Rent In Imadol, Lalitpur",Lalitpur,25000
"Apartment Rent In Sanepa : Apartment For Sale In Sanepa, Lalitpur",Lalitpur,115000
"Apartment Sale In Sanepa : Apartment For Sale In Sanepa, Lalitpur",Lalitpur,35000000
"Flat For Rent In Jhamsikhel, Lalitpur",Lalitpur,35000
"Hattiban Town Planing : Land For Sale In Hattiban, Lalitpur",Lalitpur,3500000
"Brand New Apartment For Sale At Janta Awash Bhaisepati : Flat For Sale In Bhaisepati, Lalitpur",Lalitpur,16500000
"House For Rent At Hattiban : House For Rent In Hattiban, Lalitpur",Lalitpur,60000
"House For Rent Near Manbhawan : House For Rent In Kumaripati, Lalitpur",Lalitpur,120000
